Número de registro o fila,Nombre de campo,Dato publicado,Dato nuevo,Estatus del cambio,Fecha de modificación,
2734,IVFP_C,380.4,380.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
2940,IVFP_C,326.2,326.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
3146,IVFP_C,282.1,282.3,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
3352,IVFP_C,330,330.3,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
3558,IVFP_C,355.8,356.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
3764,IVFP_C,422.2,422.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
3970,IVFP_C,354.7,354.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
4176,IVFP_C,654,654.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
4382,IVFP_C,440.2,440.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
4588,IVFP_C,266.6,266.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
4794,IVFP_C,504.2,504.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
5000,IVFP_C,357.9,358.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
5206,IVFP_C,222.8,222.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
5412,IVFP_C,344.2,344.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
5618,IVFP_C,379.7,379.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
5824,IVFP_C,334,334.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
6030,IVFP_C,419.5,419.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
6236,IVFP_C,236.1,236.3,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
6442,IVFP_C,261.9,262,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
6648,IVFP_C,372.7,372.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
6854,IVFP_C,237.7,237.8,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
7060,IVFP_C,300.5,300.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
7266,IVFP_C,292.3,292.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
8296,IVFP_C,130.5,130.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
8708,IVFP_C,91.4,91.3,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
9120,IVFP_C,92.2,92.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
10356,IVFP_C,82.3,82.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
10562,IVFP_C,106.5,106.6,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
10768,IVFP_C,92.8,92.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
10974,IVFP_C,76.8,76.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
11180,IVFP_C,84.3,84.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
11386,IVFP_C,85.1,85.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
15712,IVFP_C,91.4,91.3,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
15918,IVFP_C,82.1,82,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
16124,IVFP_C,108.2,108.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
16330,IVFP_C,94.6,94.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
16536,IVFP_C,78.9,78.8,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
16948,IVFP_C,99.7,99.6,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
17154,IVFP_C,65.8,65.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
17360,IVFP_C,76.9,76.8,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
21686,IVFP_C,88.3,88.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
21892,IVFP_C,82.2,82.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
22098,IVFP_C,69.6,69.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
22304,IVFP_C,75.5,75.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
22510,IVFP_C,65.8,65.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
23128,IVFP_C,90.8,90.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
24364,IVFP_C,108.8,108.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
26012,IVFP_C,89.4,89.3,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
26218,IVFP_C,110.3,110.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
57,IVFP_C,0,93,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
263,IVFP_C,0,101,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
469,IVFP_C,0,92.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
675,IVFP_C,0,99.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
881,IVFP_C,0,92.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
1087,IVFP_C,88.3,87.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
1293,IVFP_C,92.8,92.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
1499,IVFP_C,103,102.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
1705,IVFP_C,116.4,115.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
1911,IVFP_C,94.8,94.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
2117,IVFP_C,97.7,97,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
2323,IVFP_C,102.6,101.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
2529,IVFP_C,137.1,136.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
2735,IVFP_C,123.2,122.3,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
2941,IVFP_C,119.8,119,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
3147,IVFP_C,106.4,105.6,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
3353,IVFP_C,101.5,100.8,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
3559,IVFP_C,134.3,133.3,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
3765,IVFP_C,122.2,121.3,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
3971,IVFP_C,99,98.3,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
4177,IVFP_C,98.8,98.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
4383,IVFP_C,103,102.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
4589,IVFP_C,104.5,103.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
4795,IVFP_C,92.9,92.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
5001,IVFP_C,99.1,98.3,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
5207,IVFP_C,94.4,93.6,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
5413,IVFP_C,80.2,79.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
5619,IVFP_C,70.8,70.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
5825,IVFP_C,78,77.3,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
6031,IVFP_C,84.2,83.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
6237,IVFP_C,77.7,77.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
6443,IVFP_C,75.6,75.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
6649,IVFP_C,75.6,75.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
6855,IVFP_C,77.7,77.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
7061,IVFP_C,70.6,70.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
7267,IVFP_C,71.3,70.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
7473,IVFP_C,72,71.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
7679,IVFP_C,76.6,76.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
7885,IVFP_C,84.7,84.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
8091,IVFP_C,75.8,75.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
8297,IVFP_C,83.3,82.6,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
8503,IVFP_C,83.5,82.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
8709,IVFP_C,90.8,90.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
8915,IVFP_C,107.5,106.7,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
9121,IVFP_C,86.2,85.6,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
9327,IVFP_C,103.2,102.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
9533,IVFP_C,107,106.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
9739,IVFP_C,65.9,65.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
9945,IVFP_C,69,68.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
10151,IVFP_C,65.6,65.1,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
10357,IVFP_C,66.8,66.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
10563,IVFP_C,59.9,59.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
10769,IVFP_C,56.6,56.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
10975,IVFP_C,67.6,67.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
11181,IVFP_C,67.2,66.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
11387,IVFP_C,71.9,71.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
11593,IVFP_C,69.3,68.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
11799,IVFP_C,67.8,67.4,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
12005,IVFP_C,65.2,64.9,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
12211,IVFP_C,63.8,63.5,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
12417,IVFP_C,60.5,60.2,Cifras preliminares,14/08/2023,"Se modificó el proceso de retropolación del periodo 2007 a 2017, antes se utilizaban las variaciones mensuales y se sustituyó por variaciones anuales dado el comportamiento temporal que presentan algunas clases de actividad."
